Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
26/11/2020 21:35:14,39.0,Female,Munich,DevOps,11,11,Lead,,SQL,93000.0,,93000.0,,30,Part-time employee,Unlimited contract,German,1000+,Product,No,,
26/11/2020 21:42:38,30.0,Female,Düsseldorf ,Analyst,2,2,Junior,R,"Python, SQL",45000.0,,,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
26/11/2020 22:44:06,34.0,Female,Berlin,QA Engineer,1 (as QA Engineer) / 11 in total,11,Senior,Python,"AWS, Kubernetes, Docker",60000.0,2000,36000.0,0,28,Full-time employee,Unlimited contract,German,1000+,Product,No,40.0,250
27/11/2020 00:35:10,35.0,Female,Berlin,Product Manager,13,6,Senior,,,85000.0,,64000.0,,26,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
27/11/2020 08:08:17,33.0,Female,Berlin,Data Scientist,8,4,Senior,Python ,"SQL, Google Cloud, Docker",77000.0,0,70000.0,0,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,1700
27/11/2020 09:50:36,26.0,Female,Moscow,Frontend Developer,6,0,Senior,JavaScript,Javascript / Typescript,33000.0,0,27000.0,0,,Full-time employee,Unlimited contract,Russian,101-1000,Product,No,0.0,0
27/11/2020 12:44:12,26.0,Female,Berlin,Tech recruiting,"2,5","2,5",Middle,JS,Python,40000.0,1000,33000.0,0,25,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
27/11/2020 13:21:26,25.0,Female,Munich,ML Engineer,1,1,Junior,AI,"Python, SQL",57000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
27/11/2020 13:31:20,38.0,Female,Regensburg,ML Engineer,3,3,Middle,Python,"R, SQL",65000.0,,60000.0,,30,Full-time employee,Temporary contract,German,1000+,Product,Yes,0.0,No
27/11/2020 13:47:57,29.0,Female,Berlin,Data Scientist,2,2,Junior,R,Python,52000.0,0,,,30,Full-time employee,Unlimited contract,German,up to 10,Consulting / Agency,No,0.0,0
