Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
24/11/2020 11:48:46,35.0,Female,Berlin,Reporting Engineer,3,2,Middle,Power BI,"Python, Javascript / Typescript, SQL, SAP / ABAP, Google Cloud, Azure",55000.0,3000,45000.0,,31,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:48:57,27.0,Female,Hamburg,Account Managet,6,1,Senior,,,50000.0,,,,28,Full-time employee,Temporary contract,English,101-1000,Product,No,,
24/11/2020 11:49:06,32.0,Female,Berlin,Product Manager,8,8,No level,,,55000.0,,,,27,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,
24/11/2020 11:50:47,31.0,Female,Munich,agile master ,14,7,Middle,none,,80000.0,,80000.0,,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:52:49,38.0,Female,Munich,QA Engineer,6,2,Middle,Java,,62000.0,,62000.0,,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:57:37,28.0,Female,Munich,QA Engineer,6,2,Middle,,,65000.0,3000,42000.0,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,1600
24/11/2020 11:57:53,30.0,Female,Berlin,Software Engineer,8,2,Senior,"Scala, React.js","Javascript / Typescript, SQL, AWS, Kubernetes, Docker",75000.0,,65000.0,,35,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:59:20,32.0,Female,Kempten,Fullstack Developer,10,1,Middle,C#,"Javascript / Typescript, .NET, SQL",49000.0,,,,30,Full-time employee,Unlimited contract,English and German,51-100,Product,No,,
24/11/2020 11:59:38,26.0,Female,Munich,Data Scientist,3,1,Junior,Ml/Python,"Python, AWS, Docker",70000.0,12000,,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 12:10:05,31.0,Female,Munich,QA Engineer,7,3,Senior,Java,"Python, Ruby",68000.0,,58000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,40.0,
24/11/2020 12:13:24,42.0,Female,Berlin,QA Engineer,20,1,Middle,python,"Python, Javascript / Typescript",55000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 12:14:23,40.0,Female,Munich,Software Engineer,20,7,Middle,Java,SQL,54000.0,,54000.0,,30,Full-time employee,Unlimited contract,German,101-1000,Behörde,No,,
24/11/2020 12:14:27,36.0,Female,Erlangen,Project Manager,14,2,Middle,,Python,62000.0,,36000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 12:17:32,36.0,Female,Munich,Backend Developer,5,1,Middle,PHP,"Javascript / Typescript, Docker",60000.0,5000,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 12:21:33,33.0,Female,Berlin,QA Engineer,6,0.5,Middle,Java,"Python, Kubernetes",60000.0,,,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 12:29:35,33.0,Female,Berlin,QA Engineer,8,1.5,Senior,-,Python,50000.0,,42000.0,,24,Full-time employee,Unlimited contract,English,11-50,Startup,Yes,20.0,
24/11/2020 12:48:17,30.0,Female,Berlin,QA Engineer,5,3,Middle,Python ,"Python, Kubernetes, Docker, Ansible",50000.0,4000,50000.0,4000,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
24/11/2020 12:55:58,35.0,Female,Berlin,Software Engineer,15,6,Senior,C#,.NET,76000.0,,,,30,Full-time employee,Unlimited contract,German,1000+,Product,No,24.0,
24/11/2020 13:05:17,32.0,Female,Berlin,Product Manager,10,"4,5",Senior,,,60000.0,6000,54000.0,5400,30,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No,0.0,
24/11/2020 13:05:30,30.0,Female,Munich,Mobile Developer,10,3.5,Senior,Swift,"Kotlin, Javascript / Typescript",65000.0,5000,65000.0,5000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 13:09:51,25.0,Female,Munich,Product Manager,3,0.5,Middle,--,,62000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,
24/11/2020 13:23:32,36.0,Female,Berlin,QA Engineer,14,7,Lead,Java,Kotlin,69000.0,6900,63000.0,6300,30,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 13:51:23,24.0,Female,Stuttgart,Software Engineer,2,1,Middle,iOS,"Swift, Flutter",55200.0,2000,,,30,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,20.0,
24/11/2020 14:00:19,26.0,Female,Berlin,Software Engineer,6,4,Senior,.NET,".NET, SQL, Azure, Docker",65000.0,1000,56000.0,1000,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 14:01:01,31.0,Female,Stuttgart,Data Scientist,4,2,Middle,R,"Python, R, Azure",65000.0,73000,62000.0,68000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,35.0,
24/11/2020 14:03:04,29.0,Female,Stuttgart,QA Engineer,6,2,Middle,JS,,54000.0,,,,26,Full-time employee,Unlimited contract,English,101-1000,Product,No,20.0,
24/11/2020 14:06:46,30.0,Female,Frankfurt,QA Engineer,6,4,Senior,Bash,"Python, Java / Scala, SQL, AWS, Azure",70000.0,2000,70000.0,2000,30,Full-time employee,Unlimited contract,German,1000+,Bank ,No,,
24/11/2020 14:26:28,31.0,Female,Berlin,Graphic Designer,11,2,Middle,,"Adobe Cloud, Sketch, 3Ds Max",32000.0,,21800.0,,27,Full-time employee,Temporary contract,English,101-1000,Startup,No,0.0,
24/11/2020 14:40:25,32.0,Female,Stuttgart,Stuttgart,2,2,Junior,Java,,52000.0,4000,48000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 14:54:48,33.0,Female,Berlin,QA Engineer,9,2,Middle,Java,,57000.0,,54000.0,,21,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 15:08:28,33.0,Female,Munich,QA Engineer,6.5,3,Senior,,,58000.0,3500,55000.0,3000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 15:16:47,45.0,Female,Frankfurt,DB developer/Data analyst,6,0.9,Senior,T-SQL,,55000.0,,,,28,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24/11/2020 16:03:27,35.0,Female,Berlin,Frontend Developer,12,5,Middle,Javascript ,"AWS, Docker",70000.0,0,70000.0,0,29,Full-time employee,Unlimited contract,English,101-1000,E-commerce,No,,No
24/11/2020 16:16:41,34.0,Female,Berlin,Software Engineer,9,3,Senior,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",78000.0,3000,65000.0,7000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 16:34:40,29.0,Female,Munich,Software Engineer,5,4,Middle,"NodeJS, Typescript, AWS","Javascript / Typescript, Java / Scala, AWS",67000.0,5000,65000.0,4000,31,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 17:24:17,36.0,Female,Berlin,Recruiter,11,4,Senior,,,70000.0,11000,55000.0,0,unlimited,Full-time employee,Unlimited contract,English,1000+,Product,No,,1500
24/11/2020 18:10:47,28.0,Female,Berlin,Software Engineer,8,0,Lead,Javascript,,80000.0,0,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,500
24/11/2020 18:39:13,41.0,Female,Munich,Data Engineer,12,12,Senior,,"Python, SQL, Azure",68000.0,4500,61500.0,5000,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,Lost the job but for different reason,0.0,0
24/11/2020 18:44:33,28.0,Female,Mannheim,Software Engineer,4,4,Junior,,"PHP, SQL, Perl",53000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,,
24/11/2020 19:31:46,32.0,Female,Cologne,Data Scientist,4,4,Senior,Python,,85000.0,88000,76000.0,78000,30,Full-time employee,Unlimited contract,English,1000+,consumer goods,No,,no
24/11/2020 19:47:34,27.0,Female,Berlin,Data Scientist,3,3,Middle,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",58000.0,1000,55000.0,0,24,Full-time employee,Unlimited contract,English,51-100,Product,No,,
24/11/2020 19:57:46,35.0,Female,Berlin,Designer (UI/UX),15,1,Middle,,,53000.0,65000,,,(no idea),Full-time employee,Unlimited contract,English,1000+,Product,No,,180€
24/11/2020 20:15:27,37.0,Female,Berlin,Designer (UI/UX),2,1,Middle,,,70000.0,,,,,Full-time employee,Temporary contract,English,up to 10,Startup,No,,
24/11/2020 20:26:58,28.0,Female,Berlin,Software Engineer,3,3,Middle,Javascript,"PHP, Javascript / Typescript",60000.0,0,55000.0,0,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 20:28:38,31.0,Female,Munich,Software Engineer,2,2,Middle,Java,SQL,58000.0,3000,26000.0,1500,28,Full-time employee,Unlimited contract,German,1000+,Product,No,0.0,No
24/11/2020 20:38:22,31.0,Female,Frankfurt,Software Engineer,2,2,Junior,,,50000.0,,,,28,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,,
24/11/2020 20:39:33,32.0,Female,Berlin,Mobile Developer,7,3,Senior,Kotlin,"Python, Ruby",63000.0,,55000.0,0,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,1100
24/11/2020 20:41:20,30.0,Female,Berlin,QA Engineer,4,1,Middle,,Javascript / Typescript,52000.0,,,,20,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
24/11/2020 20:43:22,27.0,Female,Berlin,Backend Developer,3,1,Middle,,,60000.0,,,,24,Full-time employee,Unlimited contract,English,11-50,,No,32.0,
24/11/2020 21:47:25,34.0,Female,Berlin,QA Engineer,6,2,Senior,Ruby,"Ruby, Java / Scala, AWS, Kubernetes, Docker",67500.0,0,61400.0,0,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 21:52:03,27.0,Female,Munich,Frontend Developer,2,2,Middle,JavaScript,Javascript / Typescript,64000.0,0,50000.0,0,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 22:08:31,42.0,Female,Munich,Software tester ,12,12,No level ,Java,,47500.0,47500,39000.0,39000,28,Part-time employee,Unlimited contract,German,51-100,Product,No,10.0,0
24/11/2020 22:10:34,40.0,Female,Berlin,Fullstack Developer,8,8,Senior,C#,"PHP, Javascript / Typescript, .NET, SQL, Azure, Kubernetes, Docker, React, Angular2+",57000.0,1500,54000.0,100,26,Full-time employee,Unlimited contract,German,51-100,Product,No,,
24/11/2020 23:20:02,33.0,Female,Berlin,Software Engineer,6,3,Middle,java,"SQL, AWS, Kubernetes, Docker",65000.0,,54000.0,,28,Full-time employee,Unlimited contract,English,1000+,Startup,No,30.0,500
24/11/2020 23:40:13,35.0,Female,Stuttgart ,QA Manager ,9,4,Middle,Jira,,60000.0,0,60000.0,0,30,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,No
25/11/2020 00:01:59,31.0,Female,Berlin,Product Manager,,1,Senior,,,60000.0,,,,20,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 01:29:48,31.0,Female,Berlin,QA Engineer,11,1.5,Middle,JS,"Ruby, SQL",57000.0,bvg only,55000.0,"learning budget, bvg, gym, food",30,Full-time employee,Unlimited contract,English,101-1000,Startup,No,0.0,0
25/11/2020 07:27:58,25.0,Female,Berlin,Frontend Developer,4,1,Middle,Javascript / Typescript,NodeJS,60000.0,,,,23,Full-time employee,Unlimited contract,English,11-50,Startup,Yes,,
25/11/2020 08:35:46,40.0,Female,Berlin,Software Engineer,"1,5","1,5",Junior,JavaScript ,Ruby,50000.0,,40000.0,5000,30,Full-time employee,Unlimited contract,English,51-100,Startup,No,,1200
25/11/2020 09:06:43,26.0,Female,Berlin,Data Scientist,2,1,Junior,Python,"R, SQL, AWS, Docker",47000.0,0,,,25,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,40.0,0
25/11/2020 09:40:44,36.0,Female,Berlin,DevOps,1,3,Middle,java,"Kubernetes, Docker",60000.0,5000,58000.0,,26,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No,,
25/11/2020 09:44:24,27.0,Female,Munich,Mobile Developer,1,1,Junior,"Kotlin, Java","Kotlin, Java / Scala",50000.0,0,50000.0,50000,27,Full-time employee,Unlimited contract,English,11-50,Startup,No,32.0,0
25/11/2020 10:02:55,24.0,Female,Berlin,Software Engineer,2,2,Middle,,"Python, Javascript / Typescript, Java / Scala, SQL",58000.0,,,,30,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,
25/11/2020 10:50:19,36.0,Female,Munich,Frontend Developer,10,3,Middle,javascript,Javascript / Typescript,48000.0,0,40000.0,0,30,Part-time employee,Unlimited contract,German,101-1000,Product,No,,
25/11/2020 10:53:48,29.0,Female,Berlin,Software Developer in Test,9,4,Lead,Java,"Javascript / Typescript, SQL, Docker",66000.0,0,60000.0,0,25,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
25/11/2020 10:56:28,28.0,Female,Berlin,Data Scientist,4,4,Middle,Python,"Python, SQL, Docker",65000.0,4000,56000.0,56000,27,Full-time employee,Unlimited contract,English,101-1000,,No,,1000
25/11/2020 12:23:50,30.0,Female,Berlin,Data Scientist,6,5,Senior,python,"Python, SQL, Google Cloud, Kubernetes, Docker",76000.0,10000,63000.0,63000,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,700
25/11/2020 13:03:32,37.0,Female,Berlin,Data Scientist,2,2,Middle,Python,"R, SQL, AWS",62000.0,0,58000.0,600,30,Full-time employee,Unlimited contract,German,101-1000,Publisher,No,0.0,0
25/11/2020 13:39:11,26.0,Female,Berlin,Data Scientist,4,1,Middle,"Sql, BQ, tableau, gtm, ga","Python, Javascript / Typescript, SQL",45000.0,0,45000.0,0,25,Full-time employee,Temporary contract,English,101-1000,Startup,Yes,,No
25/11/2020 13:41:50,22.0,Female,Berlin,Business Development Manager Operations ,4,1,Middle,Business Development Manager Operation ,,39000.0,,39000.0,,24,Full-time employee,Temporary contract,English,1000+,Startup,No,0.0,No
25/11/2020 13:45:45,28.0,Female,Amsterdam,Program Manager,10,3,Senior,Management,,86000.0,30000,75000.0,5000,31,Full-time employee,Unlimited contract,English,1000+,Product,No,,400 / month
25/11/2020 13:54:19,30.0,Female,Berlin,Software Engineer,4,4,Middle,Python,"Python, Java / Scala, SQL, AWS, Kubernetes, Docker",56000.0,,55000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,0
25/11/2020 13:56:50,32.0,Female,Berlin,QA Engineer,10,"1,5",Middle,Java,Docker,68000.0,,62000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 14:08:18,30.0,Female,Berlin,QA Engineer,5,2,Middle,TS,,54000.0,,,,28,Full-time employee,Unlimited contract,English,11-50,Product,No,,
25/11/2020 14:08:39,29.0,Female,Berlin,Data Scientist,0,0,intern,Python,"Python, SQL, AWS, Google Cloud, Docker",20000.0,20000,,,25,Full-time employee,Temporary contract,English,1000+,Product,No,,
25/11/2020 14:21:26,28.0,Female,Berlin,Data Scientist,6,1,Senior,sql,"Python, R, SQL",70000.0,0,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,700
