Preço;Condomínio;Tamanho;Quartos;Banheiros;Suítes;Vagas;Elevador;Mobiliado;Piscina;Novo;Distrito;Negociação;Latitude;Longitude;Região;Classe;Preço_m2
700;283;56;2;2;1;1;0;0;0;0;São Mateus;Aluguel;-23.594303;-46.479352;Leste;Popular;12.5
650;302;45;2;2;1;1;0;0;0;0;São Mateus;Aluguel;-23.608681;-46.463686;Leste;Popular;14.44
1100;270;47;2;2;1;1;0;0;1;0;São Mateus;Aluguel;-23.588387;-46.486186;Leste;Popular;23.4
850;230;50;2;2;1;1;0;0;0;0;São Mateus;Aluguel;-23.588645;-46.487367;Leste;Popular;17.0
850;250;63;2;2;1;3;0;0;0;0;São Mateus;Aluguel;-23.588645;-46.487367;Leste;Popular;13.49
1100;250;54;2;2;1;1;0;0;0;0;São Mateus;Aluguel;-23.588645;-46.487367;Leste;Popular;20.37
900;220;55;2;2;1;1;0;0;0;0;São Mateus;Aluguel;-23.588736;-46.487445;Leste;Popular;16.36
1000;250;57;2;2;1;1;1;0;0;0;São Mateus;Aluguel;-23.587348;-46.484589;Leste;Popular;17.54
1365;235;65;3;2;1;1;1;0;0;0;São Mateus;Aluguel;-23.587348;-46.484589;Leste;Popular;21.0
1200;396;66;2;2;1;1;0;0;0;0;São Mateus;Aluguel;-23.588465;-46.488335;Leste;Popular;18.18
1100;0;45;2;2;1;1;1;0;0;0;São Mateus;Aluguel;-23.586822;-46.487505;Leste;Popular;24.44
1000;350;47;2;2;1;1;1;0;0;0;São Mateus;Aluguel;-23.586822;-46.487505;Leste;Popular;21.28
1100;0;45;2;2;1;1;1;0;0;0;São Mateus;Aluguel;-23.586822;-46.487505;Leste;Popular;24.44
1100;250;54;2;2;1;1;1;0;0;0;São Mateus;Aluguel;-23.587389;-46.484302;Leste;Popular;20.37
1700;0;65;3;2;1;1;0;0;1;0;São Mateus;Aluguel;-23.587856;-46.488525;Leste;Popular;26.15
1200;473;65;3;2;1;1;0;0;1;0;São Mateus;Aluguel;-23.587856;-46.488525;Leste;Popular;18.46
1000;270;48;2;2;1;1;1;0;0;0;São Mateus;Aluguel;-23.5876;-46.488497;Leste;Popular;20.83
1200;470;60;3;2;1;1;0;0;0;0;São Mateus;Aluguel;-23.5876;-46.488497;Leste;Popular;20.0
1200;0;43;2;2;1;1;1;1;0;0;São Mateus;Aluguel;-23.5876;-46.488497;Leste;Popular;27.91
1800;0;52;2;2;1;1;1;1;1;0;São Miguel;Aluguel;-23.505297;-46.473889;Leste;Popular;34.62
950;460;68;2;2;1;1;0;0;1;0;São Miguel;Aluguel;-23.500676;-46.435908;Leste;Popular;13.97
650;0;38;1;2;1;1;0;0;0;0;São Miguel;Aluguel;-23.509612;-46.506581;Leste;Popular;17.11
1100;200;55;2;2;1;1;1;0;0;0;São Miguel;Aluguel;-23.51672;-46.428782;Leste;Popular;20.0
1500;0;57;2;2;1;1;0;0;1;0;São Miguel;Aluguel;-23.513074;-46.516902;Leste;Popular;26.32
1600;450;62;3;2;1;1;1;1;1;0;São Miguel;Aluguel;-23.512067;-46.511717;Leste;Popular;25.81
900;0;48;2;2;1;1;0;0;0;0;São Miguel;Aluguel;-23.506624;-46.467897;Leste;Popular;18.75
700;0;44;2;2;1;1;0;0;0;0;São Miguel;Aluguel;-23.506994;-46.46794;Leste;Popular;15.91
1400;0;50;2;2;1;1;0;0;0;0;São Miguel;Aluguel;-23.504792;-46.427598;Leste;Popular;28.0
650;100;44;2;2;1;1;0;0;0;0;São Miguel;Aluguel;-23.505025;-46.469548;Leste;Popular;14.77
650;0;30;2;2;1;1;0;0;0;0;São Miguel;Aluguel;-23.505663;-46.468961;Leste;Popular;21.67
750;0;44;2;2;1;1;0;0;0;0;São Miguel;Aluguel;-23.505996;-46.467867;Leste;Popular;17.05
1500;0;72;4;2;1;1;0;0;1;0;São Miguel;Aluguel;-23.492995;-46.437535;Leste;Popular;20.83
